"movie_id","person_id"
"H1","Lasky"
"H2","Hitchcock"
"H3","Balcon"
"H4","Balcon"
"H5","Balcon"
"H8","Balcon"
"H10","Balcon"
"H11","Balcon"
"H13","J.Maxwell"
"H14","J.Maxwell"
"H16","J.Maxwell"
"H17","J.Maxwell"
"H19","J.Maxwell"
"H22","J.Maxwell"
"H23","J.Maxwell"
"H24","Hitchcock"
"H25","Tom Arnold"
"H28","Balcon, Montagu"
"H30","Black"
"H32","Pommer, Laughton"
"H33","Selznick"
"H34","Wanger"
"H36","Raphaelson, Hitchcock"
"H37","F.Lloyd, Skirball"
"H39","MacGowan"
"H42","Selznick"
"H43","Hitchcock"
"H44","Selznick"
"H46","Bernstein, Hitchcock"
"H50","Hitchcock"
"H51","Hitchcock"
"H52","Hitchcock"
"H57","Hitchcock"
"H61","Hitchcock"
"H65","Hitchcock, Robert Coleman"
"H79","Hitchcock"
"H80","Hitchcock"
"H81","Hitchcock"
"H82","Hitchcock"
"H83","Hitchcock"
"H40","Ministry of Inf."
"H41","Ministry of Inf."
"H55","Hitchcock"
"H58","Hitchcock"
"H59","Hitchcock"
"H60","Hitchcock"
"H63","Hitchcock"
"H66","Hitchcock"
"H67","Hitchcock,J.Harrison"
"H68","Hitchcock,J.Harrison"
"H70","Hitchcock, J.Harrison"
"H72","Hitchcock, J.Harrison"
"H74","Hitchcock, J.Harrison"
"H75","Hitchcock, J.Harrison"
"H76","Hitchcock,J.Harrison"
"H77","Hitchcock,J.Harrison"
"H78","Hitchcock,J.Harrison"
"WKD10","Dickson"
"ALu1","A.Lumiere"
"ESP25","Zukor"
"ESP26","Zukor"
"ESP27","Zukor"
"ESP30","Zukor"
"ESP31","Zukor"
"ESP32","Zukor"
"ESP33","Zukor"
"ESP34","Zukor"
"ESP40","Zukor"
"WHa1","Haggar"
"WHa8","Haggar"
"ThE10","Edison"
"GKS60","Spoor"
"ThI40","none"
"ThI65","Th.ince"
"ADw17","Fairbanks~sr"
"ADw22","Fairbanks~sr"
"ADw27","William leBaron"
"ADw41","D.Markey"
"ADw60","Edward Grainger"
"ADw70","Bogeaus"
"ADw72","Bogeaus"
"ADw75","Bogeaus"
"AEG39","Blanke"
"AEG41","Harry Joe Brown"
"JCw61","Selznick"
"JCw62","Lawrence Weingarten"
"MaT10","World"
"ME240","Victor M. Greene"
"MSe10","Mack~Sennett"
"MSe18","Mack~Sennett"
"CDM0","DeMille"
"CDM1","Lasky"
"CDM3","Lasky"
"CDM5","Lasky"
"CDM7","Lasky"
"CDM45","DeMille"
"CDM59","deMille"
"CDM64","Zukor"
"CDM70","deMille"
"CDM73","deMille"
"CDM77","deMille"
"CDM80","Henry Wilcoxon"
"GBS100","Lucien Hubbard"
"BHd10","William George Barker"
"HHS3","Schomburgk"
"HHS8","Schomburgk"
"HHS9","Schomburgk"
"HHS12","Schomburgk"
"HHS13","Schomburgk"
"HHS14","Schomburgk"
"HHS15","Schomburgk"
"HHS16","Schomburgk"
"HHS22","Schomburgk"
"HHS24","Schomburgk"
"HHS26","Schomburgk"
"HHS28","Schomburgk"
"HHS36","Schomburgk"
"HHS38","Schomburgk"
"HHS48","Schomburgk"
"HHS50","Schomburgk"
"AK57","A.Korda"
"AK58","A.Korda"
"AK59","A.Korda"
"AK78","A.Korda"
"CC66","Chaplin"
"CC68","Chaplin"
"CC72","Chaplin"
"CC73","Chaplin"
"CC75","Chaplin"
"CC76","Chaplin"
"CC79","Chaplin"
"CC80","Chaplin"
"CGl44","Gallone"
"CGl55","Gallone"
"CoC10","Selig"
"EL40","Lubitsch"
"EL51","Zukor, Lasky"
"EL57","Lubitsch"
"EL64","Lubitsch"
"EL67","A.Korda"
"EL68","Lubitsch"
"ReB8","Th.Ince"
"ReB10","Th.Ince"
"ECa65","Lloyd Sheldon"
"GMf60","Lasky"
"JMa60","Burt Kelly"
"RaW2","Fairbanks~sr"
"RaW59","Hal B. Wallis"
"RaW64","William Cagney"
"RaW66","Wallis"
"RaW72","Arnold Albert"
"RaW73","Jerry Wald"
"RaW82","none"
"RaW85","none"
"HK20","SU"
"HK25","S.Goldwyn"
"HK30","S.Goldwyn"
"HK50","Winfield Sheehan"
"HK56","Winfield Sheehan"
"HK58","D.F.Zanuck"
"HK66","MacGowan"
"HK67","D.F.Zanuck, Harry Joe Brown"
"HK75","Robert Bassler"
"HK77","Darryl Zanuck"
"HK82","D.F.Zanuck"
"HK89","D.F.Zanuck"
"HK91","Buddy Adler"
"HK92","Bert E. Friedlob, William A. Bacher"
"HK94","D.F.Zanuck"
"JqF30","Albert Lewin"
"SFr43","Albert Lewin"
"AlW60","D.Markey"
"BsK27","Joseph F. Schenk"
"BsK37","Joseph M. Schenk"
"BsK40","Joseph M. Schenk"
"FbM10","Arturo Ambrosio"
"FLl59","Winfield Sheehan"
"FLl62","Jessse L. Lasky"
"FLl80","F.Llloyd"
"FLl85","Howard Estabrook"
"GM190","Sam Goldwyn"
"GM200","Joe Pasternal"
"GM210","Hornblow"
"GM224","John Paul Jones"
"GM227","Daniel Dare"
"GM237","Pal"
"GM238","Wallis"
"GM305","Lawrence Weingarten"
"GM310","Jack Rose"
"IF76","Lester Cowan"
"IF77","Cliff Reid"
"IF79","D.F.Zanuck"
"IF83","Merrit Hulburd"
"IF86","Wanger"
"IF87","MacGowan"
"IF91","Jack Kirkland, Harry H. Oshrin"
"IF98","Samuel G. Engel"
"IF101","Ford, M.C.Cooper"
"IF108","Zimbalist"
"IF111","Leland Hayward"
"IF112","C.V. Whitney"
"IF115","Ford"
"IF125","Ford"
"ISR5","Zuckor"
"ISR30","Edward Butcher"
"RWN44","Howard Benedict"
"RyB10","Stromberg"
"RyB14","D.F.Zanuck"
"ViS5","Th.Ince"
"ViS58","Selznick"
"ViS84","Harlan Thompson"
"ViS86","Paul Jones"
"ChB9","Thalberg"
"EvS5","vonStroheim"
"EvS6","Thalberg"
"FrN3","Fairbanks~sr"
"FrN8","S.Goldwyn"
"IMS20","Laemmle~jr."
"IMS30","Stahl"
"IMS50","Nunally~J."
"IMS60","William A. Bacher"
"KV26","K.Vidor"
"KV34","Selznick"
"KV40","S.Goldwyn"
"KV43","Edward Small"
"KV50","K.Vidor"
"KV58","Blanke"
"KV64","Carlo Ponti"
"TB35","T.Browning"
"TB55","Carl Laemmle~jr."
"TB60","T.Browning"
"WAS80","Berman"
"WAS83","Berman"
"WAS95","Berman"
"WAS115","F.Ross"
"WAS125","Howard Benedict"
"WvD34","Selznick"
"WvD51","Stromberg"
"WvD53","Stromberg"
"San Francisco","SMGM"
"WvD58","Stromberg"
"WvD60","Stromberg"
"WvD67","Frank Davis"
"WvD72","V.Saville"
"WvD75","G.Reinhardt"
"WvD79","J.Mankiewicz"
"C89","Warners"
"C104","Harry Joe Brown"
"C112","Wallis"
"C113","Blanke"
"C117","Wallis"
"C119","Robert Lord"
"C120","Hal Wallis"
"C121","Hal B. Wallis"
"C122","Robert Fellows"
"C123","Robert Fellows"
"C124","Blanke"
"C127","Hal B. Wallis"
"C131","Wallis"
"C134","Jerry Wald"
"C143","Jerry Wald"
"C157","Louis F. Edelman"
"C171","Greenhut"
"CBa40","B.P. Schulberg"
"FL11","Pommer"
"FL12","Pommer"
"FL19","J.Mankiewicz"
"FL20","Wanger"
"FL23","Harry Joe Brown"
"FL24","MacGowan"
"FL28","Seton I. Miller"
"FL29","Wanger"
"FL30","Milton Sperling"
"FL35","Harriet Parsons"
"FM9","Fox"
"FM10","F.W.Murnau, Flaherty"
"GAr58","Selznick"
"GAr60","Selznick"
"GAr80","William C. Thomas"
"GF90","Fitzmaurice"
"GF160","Fitzmaurice"
"HB70","Stromberg"
"HB80","Lawrence Weingarten"
"JuD10","Bernard Hyman"
"JuD13","Boris Morros, Sam Spiegel"
"JuD16","A.Korda"
"RW1","Erich Pommer"
"CBw29","Selznick"
"CBw31","J.L.Mankiewicz"
"CBw33","Bernard Hyman"
"CBw36","Harry Joe Brown"
"CBw37","John W. Considine~jr"
"CBw40","Cl.Brown"
"CBw41","Sidney Franklin"
"CBw42","Berman"
"CDr9","Dreyer"
"CDr10","Dreyer, Nicholas DeGunzburg"
"CuB37","Joe Pasternak"
"CuB40","Zimbalist"
"CuB44","Bernhardt"
"FB27","Borzage"
"FB29","Borzage"
"FB39","Lubitsch"
"FB40","Harry Joe Brown"
"FB42","Norman Krasna"
"FB45","J.L.Mankiewicz"
"GCt20","Balcon"
"GCt21","Balcon"
"HWx4","H.Wilcox"
"HWx5","H.Wilcox"
"HWx10","H.Wilcox"
"HWx11","H.Wilcox"
"HWx17","H.Wilcox"
"HWx20","H.Wilcox"
"HWx21","H.Wilcox"
"HWx45","H.Wilcox"
"HWx47","H.Wilcox"
"HWx50","H.Wilcox"
"HWx54","Herbert J. Yates"
"HWx60","H.Wilcox"
"JWH40","Roach"
"JWH48","Roach"
"JWH70","Roach"
"JWH80","Stan Laurel"
"RoF20","Michael Balcon"
"RoF30","Alexander Korda"
"SW13","James K. McGuiness"
"SW15","V.Saville"
"SW18","Harry E. Edgington, David Hempstead"
"SW19","Frank Rose, Norman Krasna"
"SW21","David Lewis"
"SW28","Wallis"
"SW30","Robert Hakim, Raymond Hakim"
"SW33","Jack Cummins"
"VF33","Stromberg"
"VF36","Hunt Stromberg"
"VF39","Selznick"
"VF41","Louis D. Lighton"
"VF45","V.Saville"
"VF47","Everett Riskin"
"VF48","Wanger"
"AdB21","Balcon"
"EdS50","Lawrence Weingarten"
"RaI50","Irving Asher"
"SaT17","Mary Pickford"
"LuB20","Rudolf Meyer"
"LuB21","Rudolf Meyer"
"WR31","Selznick"
"WR40","Louis Sarecky"
"WR42","Zuckor"
"WR60","Selznick"
"WR86","Albert Lewis"
"WR115","Ruggles"
"WR120","Ruggles"
"AC20","Edmund Grainger"
"GP3","Hirschel, Sofar"
"RC18","Pressburger"
"RuJ8","Laemle~jr"
"TWh1","Harold Lloyd"
"TWh20","Harry Rapf"
"TWh25","A.Korda"
"TWh41","Whelan"
"TWh45","Whelan"
"TWh50","Robert Fellows"
"WiB25","Mary Pickford"
"WiB100","Sam Katzman"
"WiB199","Jack Broder"
"HSt1","Stromberg"
"W30","B.B. Schulberg, Lucien Hubbard"
"W40","Selznick"
"W41","J.L.Mankiewicz"
"W55","Selznick"
"W70","Hunt Stromberg"
"W78","Wellman"
"W83","Lamar Trotti"
"JR1","J.Renoir"
"JR5","J.Renoir"
"JR20","Braunberger"
"JR55","Charles Spaak"
"JR75","Pichel"
"JR77","J.Renoir, D.Nichols"
"SET1","Selznick"
"SE4","Eisenstein"
"WKH35","Jesse L. Lasky"
"WKH44","Selznick"
"WKH45","Wanger"
"AJG50","Roach"
"ChR13","Harry Rapf"
"ChR50","Louis K. Sidney"
"ChR60","George Haight"
"CLa110","Alex Gottlieb"
"CLa114","Howard Christie"
"CLa150","Max L. Rosenberg, Milton Subotsky"
"EG3","E.Goulding"
"EG11","Irving Thalberg"
"EG16","Wallis"
"EG17","David Lewis"
"EG24","W. Perlheim"
"EG25","Henry Blake"
"EG20","D.F.Zanuck"
"EG28","Nunally~J."
"GLC4","Selznick"
"GLC6","Selznick"
"GLC12","Charles R. Rogers"
"IGB45","Douglas Maclean"
"IGB50","Roach, Stan Laurel"
"IrC67","D.F.Zanuck, Winfield Sheehan"
"IrC77","Harry Joe Brown"
"IrC79","D.Markey"
"IrC81","Kohlmar"
"IrC86","Perlberg"
"IrC95","Cummings"
"LM4","H.Hughes"
"LM11","F.Howard"
"LM17","Roach"
"LM20","Henry Blanke"
"LM22","D.F.Zanuck"
"LM29","Milestone"
"LM32","Kohlmar"
"LM100","Hitchcock"
"LM110","Milestone"
"S9","Zuckmayer, Pommer"
"S10","Louis S. Lighton"
"S21","Arnold Pressburger"
"S23","H.Hughes"
"ThD30","John Cornfield"
"ThD50","Sidney Cole"
"WW23","Paul Kohner"
"WW30","Henry Henigson"
"WW43","S.Goldwyn"
"WW44","wyler, Blanke"
"WW46","Robert Lord"
"WW47","Sam Goldwyn"
"WW48","S.Goldwyn"
"WW60","War Activities Comission"
"WW63","S.Goldwyn"
"WW65","Wyler"
"WW66","Wyler"
"WW67","Wyler"
"WW73","Wyler"
"WW80","Wyler, Gregory Peck"
"WW81","Zimbalist"
"WW82","Wyler"
"WW84","Fred Kohlmar"
"WW85","Ray~Stark"
"ACa50","Sidney Cole, John Croydon"
"ACa60","John Croydon, Michael Balcon"
"AM15","Robert Lord"
"AM18","Blanke"
"AM23","S.Goldwyn"
"AM29","William Perlberg"
"AM31","William LeBaron"
"AM35","David A. Loew"
"AM36","Charles R. Rogers"
"ASR40","Burt Kelly"
"EBS50","Selznick, M.C.Cooper"
"EBS90","J.Ford, M.C.Cooper"
"FC10","Harry Cohn"
"FC25","Capra"
"FC26","Capra"
"FC27","Capra"
"FC35","Capra"
"GMy45","Machaty"
"HH12","H.Hughes"
"HH14","Hawks"
"HH21","Hawks"
"HH22","Hawks"
"HH23","Hawks"
"HH28","Hawks"
"HH31","S.C.Siegel"
"HH34","S.C.Siegel"
"HH37","Hawks"
"LlB35","Robert Lord"
"LlB40","R.Lloyd"
"LlB50","Wallis"
"LlB55","Bischoff"
"LlB57","Bischoff"
"LlB64","Wallis"
"LlB67","Wallis"
"LlB83","Walter Morosco"
"LlB95","George Jessel"
"LlB97","Robert Sparks"
"LlB100","Edmund Granger"
"RVL16","Max Schach"
"RVL17","Edward Small"
"RVL28","R.V.Lee"
"RVL30","Lee"
"RVL32","Small"
"WlD9","SU"
"WlD19","Blanke"
"WlD29","Blanke"
"WlD34","Wanger"
"WlD35","Wallis, Blanke"
"WlD36","Berman"
"WlD37","Wolfgang Reinhardt"
"WlD38","Henry Blake"
"WlD43","Schary"
"WlD45","H.B.Wallistd> SParamount"
"WlD49","Selznick"
"WlD51","Wallis"
"WlD53","Wallis"
"WlD58","Irving Asher"
"WlD61","Irving Asher"
"ByH5","Wallis"
"ByH8","Perce Pearce"
"ByH15","Pal"
"CBm60","Harold Lloyd"
"DaB11","D.F.Zanuck"
"DaB17","Cliff Reid"
"DaB19","Paul Jones"
"DaB20","Samuel Goldwyn"
"DaB21","Mark Hellinger"
"DaB26","William Jacobs"
"DaB28","William Jacobs"
"DaB32","William Jacobs"
"DAz6","Selznick"
"DAz21","Selznick, Berman"
"DMD25","MOI"
"DMD40","B.Box"
"DMD50","Hamilton Inglis"
"FTu7","Tuttle"
"FTu20","S.Goldwyn"
"Ftu25","E.Llloyd Sheldon"
"HDA6","J.Mankiewicz, Selznick"
"HDA7","Selznick"
"JTg7","Wurtzel"
"LoM12","A.Korda"
"LwS150","Brian Foy"
"LwS180","Charlie~Feldman"
"MLR7","Bischoff"
"MLR12","Sam Bischoff"
"MLR14","Robert Lord"
"MLR17","Robert Lord"
"MLR22","Franklin"
"MLR29","Zimbalist"
"MLR32","M.LeRoy"
"MLR40","J.Cummings"
"MLR43","M.LeRoy"
"RFl33","A.M. Botsford"
"RFl100","Hitchcock, J.Harrison"
"RFl101","Hitchcock"
"RFl102","Hitchcock, J.Harrison"
"RFl103","Hitchcock, J.Harrison"
"RFl104","Hitchcock"
"REn6","Robert Lord"
"REn18","Bischoff"
"REn32","wallis"
"REn45","M.Siegel"
"REn53","Frank Lloyd"
"RWa10","Louis D. Lighton"
"RWa12","Louis D. Lighton"
"RWa50","Selznick"
"RWa65","Harold Lloyd"
"RWa72","Bischoff"
"RZL15","Paul Bern"
"RZL19","Thalberg"
"RZL22","Hunt Sromberg"
"RZL25","Leonard"
"RZL26","Hunt Stromberg"
"RZL39","Joe Pasternak"
"VrS24","Balcon"
"VrS30","V.Saville"
"VrS31","V.Saville"
"VrS34","V.Saville"
"WLa18","D.Markey"
"WLa23","Harry Joe Brown"
"WLa24","William leBaron"
"WLa27","Perlberg"
"WLa29","William Perlberg"
"WLa38","S.C.Siegel"
"WLa41","S.C.Siegel"
"WLa42","Charles Brackett"
"WLa43","H.Ephron"
"FeF12","Bischoff"
"FeF8","Jack E. Gross, Nat Holt, G.White"
"FeF85","Tom Gries"
"LB14","Oscar Dancigers"
"LB26","Serge Silberman"
"LB30","Serge Silberman"
"LeJ10","Albert J. Cohen"
"NT32","Benjamin Glazer"
"NT36","Benjamin Glazer"
"NT44","Ben Glazer"
"NT45","S.Goldwyn"
"NT50","Joe Pasternak"
"NT55","W.Wright"
"NT60","John W. Considine~jr."
"NT94","Joe Pasternak"
"NT105","Henry Blanke"
"NT110","Wallis"
"NT120","Edmund Granger"
"NT121","Robert Westfield"
"NT127","Wallis"
"NT128","Wallis"
"RTh3","Zimbalist"
"RTh4","Norman Krasna"
"RTh5","Zimbalist"
"RTh6","J.Mankiewicz"
"RTh7","V.Saville"
"RTh9","B.P. Fineman"
"RTh12","V.Saville"
"RTh27","Jack Caummings"
"RTh35","Berman"
"RTh52","R.Thorpe, E.Jack Newman"
"TG15","Wanger"
"TG22","Richard A. Rowland"
"TG30","Carey Wilson"
"WaF10","Michael Balcon"
"WaF15","Balcon"
"WaF20","Balcon"
"WaF25","Balcon"
"WaF35","Michael Balcon"
"WaF40","Edwark Black"
"WaF48","Edward Black"
"WD102","Disney"
"CJu10","Junghans"
"FRJ30","S.Goldwyn"
"GgA3","Selznick"
"GgA8","Abbott"
"HPo10","Laemle"
"ICr4","Selznick"
"ICr6","Howard Turnbull,Selznick"
"ICr15","Selznick"
"ICr16","Selznick"
"ICr19","Berman"
"ICr24","Selznick"
"ICr25","Nunally~J."
"ICr28","Wanger"
"ICr35","Selznick"
"ICr40","Sidney Biddell"
"ICr42","John Houseman"
"IFD50","Sam E. Rork"
"LiB4","Barrymore"
"LiB5","Barrymore"
"LMC13","H.Lloyd"
"LMC14","McCarey"
"LMC16","McCarey"
"LMC18","McCarey"
"LMC19","McCarey"
"LMC23","McCarey, Jerry Wald"
"RM1","Jesse L. Lasky, Wanger"
"RM6","Wanger"
"RM7","S.Goldwyn"
"RM13","D.F.Zanuck"
"RM15","Freed"
"RM16","Freed"
"RSi20","J.Harrison"
"RSi29","J.Harrison"
"ThF17","Winfield Sheean"
"WTh10","E.Lloyd Sheldon"
"BDn7","Balcon"
"GC7","Selznick, Berman"
"GC8","Selznick"
"GC10","Selznick"
"GC11","Selznick"
"GC12","Selznick"
"GC13","Selznick"
"GC14","Berman"
"GC15","Thalberg"
"GC17","Everett Riskin"
"GC21","J.Mankiewicz"
"GC22","V.Saville"
"GC23","\P{G.Reinhardt"
"GC29","Hellinger"
"GC30","Lawrence Weingarten"
"GC31","Edwin H. Knopf"
"GC33","S.Simon"
"GC36","Lawrence Weingarten"
"GC41","S.C.Siegel"
"GC45","Jerry Wald"
"GC48","J.Warner"
"GC52","Edward Lewis"
"GC54","William Allyn"
"HAA10","Selznick"
"HAA15","Selznick"
"HHu1","H.Hughes"
"HHu2","H.Hughes"
"HHu3","H.Hughes"
"IB8","Julius Hagen"
"IB14","Sam Bisschoff"
"IB18","William LeBaron"
"IB20","Robert Bassler"
"IB101","Hitchcock, J.Harrison"
"IB102","Hitchcock, J.Harrison"
"IB105","Hitchcock, J.Harrison"
"IB106","Hitchcock, J.Harrison"
"IB107","Hitchcock, J.Harrison"
"IB108","Hitchcock"
"IB109","Hitchcock"
"IB111","Hitchcock"
"IB112","Hitchcock"
"IB113","Hitchcock"
"IB150","Sam Katzman"
"JPa7","Roach"
"JPa8","Roach"
"JPa10","Roach"
"JPa14","Roach"
"JVi23","Jacques LouisNounez"
"JW1","Laemmle~jr."
"JW4","Laemmle~jr"
"JW11","Laemmle~jr"
"JW18","Harry Edgington"
"MOp4","Fred Lisa"
"MOp14","Fairbanks~jr"
"MOp16","John Houseman"
"MSa6","Berman"
"MSa7","Berman"
"MSa9","Berman"
"MSa10","Berman"
"MSa12","Berman"
"MdO10","DeOliveira"
"MdO60","deOliveira"
"MdO62","deOliveira"
"MdO70","deOliveira"
"NGr20","Wallace MacDonald"
"RM110","Selznick"
"ELC200","Robert E. Kent"
"ETG12","Steven Pallos, Donald taylor"
"GeK10","G.King"
"GeK20","G.King"
"GeK25","G.King"
"GeK30","G.King"
"IAg10","Argyle"
"JNm25","Robert Bassler"
"JNm32","Newman"
"JNm40","Al Zimbalist"
"JNm60","Hitchcock"
"JNm62","Hitchcock"
"JNm63","Hitchcock"
"JNm64","Hitchcock"
"JNm67","Hitchcock"
"JNm69","Hitchcock"
"J.White","White"
"JWR7","Selznick"
"JWR8","Selznick"
"JWR9","Sam Jaffe"
"JWR12","Basil Dean"
"JWR13","Lucien Hubbard"
"MAl13","Gilbert Cohen-Seat"
"MBa27","Basil Dean"
"NML4","Louis D. Lighton"
"NML5","William leBaron"
"NML10","Roach"
"NML20","George Haight"
"NML21","S.Goldwyn"
"NML23","Robert L. Welch"
"NML24","Daniel Dare"
"NML31","Paul Jones"
"StW10","Stanley Bergerman"
"WCM22","Menzies"
"WCM32","Edward D. Alperson"
"AL10","Robert Lord"
"AL12","Jack L. Warner, Hal B. Wallis"
"AL14","Robert Lord"
"AL16","Anatole Litvak"
"AL21","Wallis"
"AL22","Litvak, Robert Bassler"
"AL26","{Buddy Adler"
"AL27","Litvak"
"AlH8","B.P. Schulberg"
"AlH21","William Perlberg"
"AlH22","B.P. Schulberg"
"AlH23","William Perlberg"
"AlH24","Everett Riskin"
"AlH30","Louis Edelman"
"AlH38","Oscar Saul"
"CMF1","Hoffman"
"EaK30","Howard Welsch"
"EaK50","Alex Gottlieb"
"EaK51","Alex Gottlieb"
"ElN2","M.C.Cooper, McGowan"
