22,made_by,Famous,H1,Famous
48,made_by,B-S-F,H3,B-S-F
51,made_by,Gainsborough,H4,Gainsborough
24,made_by,UFA,H5,UFA
51,made_by,Gainsborough,H8,Gainsborough
51,made_by,Gainsborough,H11,Gainsborough
66,made_by,Lime Grove,H25,Lime Grove
59,made_by,Elstree,H32,Elstree
79,made_by,elznick,H33,elznick
10,made_by,Universal,H37,Universal
79,made_by,elznick,H42,elznick
79,made_by,elznick,H44,elznick
111,made_by,Transatlantic,H46,Transatlantic
30,made_by,SWarners,H50,SWarners
22,made_by,Paramount,H51,Paramount
22,made_by,Paramount,H52,Paramount
22,made_by,Paramount,H57,Paramount
30,made_by,SWarners,H61,SWarners
22,made_by,Paramount,H65,Paramount
10,made_by,Universal,H79,Universal
10,made_by,Universal,H80,Universal
10,made_by,Universal,H81,Universal
10,made_by,Universal,H82,Universal
80,made_by,SPinewood,H83,SPinewood
59,made_by,SElstree,H40,SElstree
59,made_by,SElstree,H41,SElstree
146,made_by,hamley,H55,hamley
146,made_by,hamley,H58,hamley
146,made_by,hamley,H59,hamley
146,made_by,hamley,H60,hamley
146,made_by,hamley,H63,hamley
146,made_by,hamley,H66,hamley
146,made_by,hamley,H67,hamley
146,made_by,hamley,H68,hamley
146,made_by,hamley,H70,hamley
146,made_by,hamley,H72,hamley
146,made_by,hamley,H74,hamley
146,made_by,hamley,H75,hamley
146,made_by,hamley,H76,hamley
146,made_by,hamley,H77,hamley
146,made_by,hamley,H78,hamley
1,made_by,SLumiere,ALu1,SLumiere
1,made_by,SLumiere,ALu2,SLumiere
1,made_by,SLumiere,ALu3,SLumiere
1,made_by,SLumiere,ALu4,SLumiere
1,made_by,SLumiere,ALu5,SLumiere
1,made_by,SLumiere,ALu6,SLumiere
1,made_by,SLumiere,ALu7,SLumiere
1,made_by,SLumiere,ALu30,SLumiere
7,made_by,SEdison,ESP10,SEdison
7,made_by,SEdison,ESP11,SEdison
7,made_by,SEdison,ESP12,SEdison
7,made_by,SEdison,ESP16,SEdison
7,made_by,SEdison,ESP17,SEdison
22,made_by,SFamous,ESP25,SFamous
22,made_by,SFamous,ESP26,SFamous
22,made_by,SFamous,ESP27,SFamous
22,made_by,SFamous,ESP30,SFamous
22,made_by,SFamous,ESP31,SFamous
22,made_by,SFamous,ESP32,SFamous
22,made_by,SFamous,ESP33,SFamous
22,made_by,SFamous,ESP34,SFamous
22,made_by,SFamous,ESP40,SFamous
39,made_by,SBiograph,WMc10,SBiograph
7,made_by,SEdison,ThE10,SEdison
8,made_by,SEssanay,GKS60,SEssanay
17,made_by,SAmbrosio,LMi23,SAmbrosio
17,made_by,SAmbrosio,LMi35,SAmbrosio
17,made_by,SAmbrosio,MCs2,SAmbrosio
21,made_by,SArtistica Gloria,MCs10,SArtistica Gloria
26,made_by,STriangle,ThI40,STriangle
22,made_by,Paramount,ADw27,Paramount
22,made_by,Paramount,AEG25,Paramount
30,made_by,SWarners,AEG39,SWarners
30,made_by,SWarners,AEG41,SWarners
10,made_by,Universal,LoW5,Universal
10,made_by,Universal,LoW5,Universal
10,made_by,Universal,LoW10,Universal
10,made_by,Universal,LoW11,Universal
10,made_by,Universal,LoW20,Universal
10,made_by,Universal,LoW21,Universal
17,made_by,SAmbrosio,ElR10,SAmbrosio
5,made_by,SCines,NOx20,SCines
7,made_by,SEdison,BuG10,SEdison
27,made_by,SFeature Play,CDM1,SFeature Play
27,made_by,SFeature Play,CDM3,SFeature Play
27,made_by,SFeature Play,CDM5,SFeature Play
27,made_by,SFeature Play,CDM7,SFeature Play
27,made_by,SFeature Play,CDM17,SFeature Play
27,made_by,SFeature Play,CDM18,SFeature Play
22,made_by,Paramount,CDM59,Paramount
22,made_by,Paramount,CDM64,Paramount
22,made_by,Paramount,CDM70,Paramount
22,made_by,Paramount,CDM73,Paramount
22,made_by,Paramount,CDM77,Paramount
22,made_by,Paramount,CDM80,Paramount
22,made_by,Paramount,GBS42,Paramount
10,made_by,Universal,HBn8,Universal
22,made_by,Paramount,HBn25,Paramount
4,made_by,SParis,AK50,SParis
129,made_by,SLondon Films,AK78,SLondon Films
129,made_by,London Films,AK90,London Films
30,made_by,SFirst National,CC66,SFirst National
30,made_by,SFirst National,CC68,SFirst National
30,made_by,SFirst National,CC72,SFirst National
74,made_by,SRepublic,CC79,SRepublic
5,made_by,SCines,CGl10,SCines
5,made_by,SCines,CGl25,SCines
24,made_by,Union,CWl10,Union
24,made_by,Union,El9,Union
24,made_by,Union,El13,Union
24,made_by,Union,El15,Union
24,made_by,Union,EL37,Union
22,made_by,Paramount,EL44,Paramount
22,made_by,Paramount,EL51,Paramount
22,made_by,Paramount,EL52,Paramount
22,made_by,Paramount,EL54,Paramount
22,made_by,Paramount,EL55,Paramount
22,made_by,Paramount,EL57,Paramount
22,made_by,Paramount,EL58,Paramount
22,made_by,Paramount,EL60,Paramount
22,made_by,Paramount,EL62,Paramount
2,made_by,SNew York,ReB8,SNew York
2,made_by,SNew York,ReB10,SNew York
22,made_by,Paramount,ECa65,Paramount
27,made_by,SFeature Play,GMf20,SFeature Play
27,made_by,SFeature Play,GMf21,SFeature Play
22,made_by,Paramount,GMf40,Paramount
22,made_by,Paramount,GMf70,Paramount
30,made_by,SWarners,IGA50,SWarners
10,made_by,Universal,JMa60,Universal
30,made_by,SWarners,RaW59,SWarners
30,made_by,SWarners,RaW61,SWarners
30,made_by,SWarners,RaW64,SWarners
30,made_by,SWarners,RaW65,SWarners
30,made_by,SWarners,RaW66,SWarners
30,made_by,SWarners,RaW72,SWarners
30,made_by,SWarners,RaW73,SWarners
74,made_by,SRepublic,RaW77,SRepublic
30,made_by,SWarners,RaW85,SWarners
29,made_by,SPickford,WDT19,SPickford
140,made_by,SRealArt,WDT27,SRealArt
38,made_by,SGoldwyn,HK25,SGoldwyn
30,made_by,SFirst National,MaN30,SFirst National
22,made_by,Paramount,WDM3,Paramount
22,made_by,Paramount,WDM5,Paramount
30,made_by,SFirst National,BsK27,SFirst National
183,made_by,Metro,BsK37,Metro
17,made_by,SAmbrosio,FbM10,SAmbrosio
30,made_by,SWarners,FLl30,SWarners
22,made_by,Paramount,FLl80,Paramount
22,made_by,Paramount,FLl85,Paramount
38,made_by,SGoldwyn,GM190,SGoldwyn
10,made_by,Universal,GM200,Universal
22,made_by,Paramount,GM210,Paramount
22,made_by,Paramount,GM223,Paramount
22,made_by,Paramount,GM224,Paramount
22,made_by,Paramount,GM227,Paramount
22,made_by,Paramount,GM237,Paramount
22,made_by,Paramount,GM238,Paramount
22,made_by,Paramount,GM242,Paramount
22,made_by,Paramount,GM310,Paramount
10,made_by,Universal,IF15,Universal
74,made_by,SRepublic,IF106,SRepublic
30,made_by,SWarners,IF111,SWarners
30,made_by,SWarners,IF112,SWarners
50,made_by,SColumbia,IF115,SColumbia
22,made_by,Paramount,IF120,Paramount
22,made_by,Paramount,IF125,Paramount
10,made_by,Universal,RAB10,Universal
10,made_by,Universal,RAB11,Universal
10,made_by,Universal,RAB12,Universal
10,made_by,Universal,RAB13,Universal
10,made_by,Universal,RAB14,Universal
10,made_by,Universal,RWN20,Universal
10,made_by,Universal,RWN28,Universal
10,made_by,Universal,RWN34,Universal
10,made_by,Universal,RWN36,Universal
10,made_by,Universal,RWN38,Universal
10,made_by,Universal,RWN44,Universal
22,made_by,Paramount,ViS60,Paramount
22,made_by,Paramount,ViS84,Paramount
22,made_by,Paramount,ViS86,Paramount
22,made_by,Paramount,EvS7,Paramount
22,made_by,Paramount,FrN5,Paramount
10,made_by,Universal,IMS20,Universal
10,made_by,Universal,IMS30,Universal
10,made_by,Universal,IMS40,Universal
22,made_by,Paramount,JKm10,Paramount
38,made_by,SGoldwyn,KV40,SGoldwyn
30,made_by,SWarners,KV58,SWarners
10,made_by,Universal,TB55,Universal
50,made_by,SColumbia,WAS82,SColumbia
30,made_by,SWarners,WAS95,SWarners
10,made_by,Universal,WAS125,Universal
30,made_by,SWarners,C94,SWarners
30,made_by,SWarners,C104,SWarners
30,made_by,SWarners,C112,SWarners
30,made_by,SWarners,C113,SWarners
30,made_by,SFirst National,C117,SFirst National
30,made_by,SWarners,C119,SWarners
30,made_by,SWarners,C120,SWarners
30,made_by,SWarners,C121,SWarners
30,made_by,SWarners,C122,SWarners
30,made_by,SWarners,C123,SWarners
30,made_by,SWarners,C124,SWarners
30,made_by,SWarners,C127,SWarners
30,made_by,SWarners,C131,SWarners
30,made_by,SWarners,C134,SWarners
30,made_by,SWarners,C143,SWarners
30,made_by,SWarners,C157,SWarners
22,made_by,Paramount,CBa30,Paramount
30,made_by,SWarners,CBa45,SWarners
30,made_by,SWarners,CBa50,SWarners
22,made_by,Paramount,FL28,Paramount
10,made_by,Universal,FL29,Universal
22,made_by,Paramount,GAr80,Paramount
20,made_by,SLondon,JuD16,SLondon
36,made_by,U.A.,CBw9,U.A.
30,made_by,SWarners,CuB44,SWarners
22,made_by,Paramount,FB27,Paramount
50,made_by,SColumbia,FB29,SColumbia
30,made_by,SWarners,FB40,SWarners
48,made_by,B-S-F,GCt20,B-S-F
48,made_by,B-S-F,GCt21,B-S-F
30,made_by,SWarners,HWx21,SWarners
74,made_by,SRepublic,HWx54,SRepublic
86,made_by,SRoach,JWH80,SRoach
50,made_by,SColumbia,JWH100,SColumbia
51,made_by,SGainsborough,RoF20,SGainsborough
30,made_by,SWarners,SW21,SWarners
30,made_by,SWarners,SW28,SWarners
22,made_by,Paramount,VF17,Paramount
73,made_by,SMonogram,PRo55,SMonogram
73,made_by,SMonogram,PRo83,SMonogram
73,made_by,SMonogram,PRo86,SMonogram
73,made_by,SMonogram,PRo90,SMonogram
73,made_by,SMonogram,PRo93,SMonogram
73,made_by,SMonogram,PRo96,SMonogram
81,made_by,SCinetone,LuB20,SCinetone
81,made_by,SCinetone,LuB21,SCinetone
22,made_by,Paramount,WR42,Paramount
22,made_by,Paramount,WR80,Paramount
22,made_by,Paramount,WR86,Paramount
22,made_by,Paramount,WR112,Paramount
50,made_by,SColumbia,WR120,SColumbia
30,made_by,SWarners,AC7,SWarners
30,made_by,SWarners,AC8,SWarners
30,made_by,SWarners,AC9,SWarners
10,made_by,Universal,AC20,Universal
20,made_by,London,RC13,London
10,made_by,Universal,RuJ8,Universal
20,made_by,SLondon,TWh25,SLondon
29,made_by,SPickford,WiB25,SPickford
73,made_by,SMonogram,WiB100,SMonogram
73,made_by,SMonogram,WiB180,SMonogram
73,made_by,SMonogram,WiB183,SMonogram
22,made_by,Paramount,W30,Paramount
30,made_by,SWarners,W50,SWarners
30,made_by,SWarners,W56,SWarners
30,made_by,SWarners,W60,SWarners
22,made_by,Paramount,W78,Paramount
10,made_by,Universal,WWo10,Universal
30,made_by,SWarners,JR96,SWarners
10,made_by,Universal,PlL3,Universal
22,made_by,Paramount,WKH45,Paramount
30,made_by,SWarners,CLa110,SWarners
10,made_by,Universal,CLa115,Universal
10,made_by,Universal,CLa150,Universal
30,made_by,SWarners,EG16,SWarners
30,made_by,SWarners,EG17,SWarners
30,made_by,SWarners,EG18,SWarners
30,made_by,SWarners,EG25,SWarners
22,made_by,Paramount,GLC2,Paramount
10,made_by,Universal,GLC12,Universal
30,made_by,SWarners,LM2,SWarners
30,made_by,SWarners,LM20,SWarners
146,made_by,hamley,LM100,hamley
30,made_by,SWarners,LM110,SWarners
22,made_by,Paramount,PSl10,Paramount
22,made_by,Paramount,S5,Paramount
22,made_by,Paramount,S10,Paramount
22,made_by,Paramount,S11,Paramount
22,made_by,Paramount,S12,Paramount
22,made_by,Paramount,S14,Paramount
22,made_by,Paramount,S15,Paramount
22,made_by,Paramount,S16,Paramount
50,made_by,SColumbia,S17,SColumbia
10,made_by,Universal,WW12,Universal
10,made_by,Universal,WW23,Universal
10,made_by,Universal,WW30,Universal
38,made_by,SGoldwyn,WW43,SGoldwyn
30,made_by,SWarners,WW44,SWarners
30,made_by,SWarners,WW46,SWarners
38,made_by,SGoldwyn,WW47,SGoldwyn
22,made_by,Paramount,WW66,Paramount
22,made_by,Paramount,WW73,Paramount
36,made_by,U.A.,WW82,U.A.
50,made_by,SColumbia,WW85,SColumbia
30,made_by,SWarners,AM15,SWarners
30,made_by,SWarners,AM18,SWarners
38,made_by,SGoldwyn,AM23,SGoldwyn
10,made_by,Universal,ASR40,Universal
50,made_by,SColumbia,FC10,SColumbia
50,made_by,SColumbia,FC22,SColumbia
50,made_by,SColumbia,FC24,SColumbia
50,made_by,SColumbia,FC25,SColumbia
50,made_by,SColumbia,FC26,SColumbia
50,made_by,SColumbia,FC27,SColumbia
30,made_by,SWarners,FC34,SWarners
30,made_by,SWarners,HH9,SWarners
30,made_by,SWarners,HH13,SWarners
50,made_by,SColumbia,HH22,SColumbia
50,made_by,SColumbia,HH23,SColumbia
30,made_by,SWarners,HH28,SWarners
38,made_by,SGoldwyn,HH29,SGoldwyn
22,made_by,Paramount,HH37,Paramount
30,made_by,SWarners,LlB11,SWarners
30,made_by,SWarners,LlB21,SWarners
30,made_by,SWarners,LlB32,SWarners
30,made_by,SWarners,LlB35,SWarners
30,made_by,SWarners,LlB36,SWarners
30,made_by,SWarners,LlB37,SWarners
30,made_by,SWarners,LlB40,SWarners
30,made_by,SWarners,LlB50,SWarners
30,made_by,SWarners,LlB53,SWarners
30,made_by,SWarners,LlB55,SWarners
30,made_by,SWarners,LlB57,SWarners
30,made_by,SWarners,LlB59,SWarners
30,made_by,SWarners,LlB62,SWarners
30,made_by,SWarners,LlB64,SWarners
30,made_by,SWarners,LlB67,SWarners
30,made_by,SWarners,LlB80,SWarners
22,made_by,Paramount,MSC10,Paramount
10,made_by,Universal,RVL28,Universal
10,made_by,Universal,RVL30,Universal
50,made_by,SColumbia,RyT55,SColumbia
30,made_by,SWarners,WlD5,SWarners
30,made_by,SWarners,WlD18,SWarners
30,made_by,SWarners,WlD19,SWarners
30,made_by,SWarners,WlD20,SWarners
30,made_by,SWarners,WlD29,SWarners
30,made_by,SWarners,WlD35,SWarners
30,made_by,SWarners,WlD37,SWarners
30,made_by,SWarners,WlD38,SWarners
79,made_by,SSelznick,WlD43,SSelznick
79,made_by,SSelznick,WlD49,SSelznick
22,made_by,Paramount,WlD51,Paramount
22,made_by,Paramount,WlD53,Paramount
22,made_by,Paramount,WlD58,Paramount
22,made_by,Paramount,WlD61,Paramount
22,made_by,Paramount?,AJs1,Paramount?
22,made_by,Paramount,ByH5,Paramount
22,made_by,Paramount,ByH15,Paramount
22,made_by,Paramount,DaB19,Paramount
30,made_by,SWarners,DaB21,SWarners
30,made_by,SWarners,DaB26,SWarners
30,made_by,SWarners,DaB28,SWarners
30,made_by,SWarners,DaB32,SWarners
22,made_by,Paramount,DAz5,Paramount
38,made_by,SGoldwyn,DAz23,SGoldwyn
22,made_by,Paramount,FTu7,Paramount
22,made_by,Paramount,FTu19,Paramount
38,made_by,SGoldwyn,FTu20,SGoldwyn
22,made_by,Paramount,Ftu23,Paramount
22,made_by,Paramount,Ftu25,Paramount
30,made_by,SWarners,LwS150,SWarners
30,made_by,SWarners,MLR4,SWarners
30,made_by,SWarners,MLR6,SWarners
30,made_by,SWarners,MLR7,SWarners
30,made_by,SWarners,MLR12,SWarners
30,made_by,SWarners,MLR14,SWarners
30,made_by,SWarners,MLR16,SWarners
30,made_by,SWarners,MLR17,SWarners
30,made_by,SWarners,MLR43,SWarners
22,made_by,Paramount,RFl3,Paramount
10,made_by,Universal,RFl28,Universal
22,made_by,Paramount,RFl33,Paramount
22,made_by,Paramount,RFl40,Paramount
146,made_by,hamley,RFl100,hamley
146,made_by,hamley,RFl101,hamley
146,made_by,hamley,RFl102,hamley
146,made_by,hamley,RFl103,hamley
146,made_by,hamley,RFl104,hamley
30,made_by,SWarners,REn6,SWarners
30,made_by,SWarners,REn18,SWarners
30,made_by,SWarners,REn32,SWarners
30,made_by,SWarners,REn45,SWarners
10,made_by,Universal,REn53,Universal
22,made_by,Paramount,RWa10,Paramount
22,made_by,Paramount,RWa12,Paramount
79,made_by,SSelznick,RWa50,SSelznick
50,made_by,SColumbia,RWa72,SColumbia
74,made_by,SRepublic,LeJ10,SRepublic
50,made_by,SColumbia,LeJ12,SColumbia
22,made_by,Paramount,NT20,Paramount
22,made_by,Paramount,NT30,Paramount
22,made_by,Paramount,NT31,Paramount
22,made_by,Paramount,NT32,Paramount
22,made_by,Paramount,NT36,Paramount
22,made_by,Paramount,NT44,Paramount
38,made_by,SGoldwyn,NT45,SGoldwyn
10,made_by,Universal,NT50,Universal
79,made_by,SSelznick,NT55,SSelznick
30,made_by,SWarners,NT105,SWarners
22,made_by,Paramount,NT110,Paramount
22,made_by,Paramount,NT128,Paramount
22,made_by,Paramount,TG22,Paramount
51,made_by,SGainsborough,WaF10,SGainsborough
51,made_by,SGainsborough,WaF40,SGainsborough
51,made_by,SGainsborough,WaF48,SGainsborough
22,made_by,Paramount,BVi12,Paramount
10,made_by,Universal,HPo10,Universal
22,made_by,Paramount,ICr6,Paramount
22,made_by,Paramount,ICr10,Paramount
79,made_by,SSelznick,ICr24,SSelznick
79,made_by,SSelznick,ICr35,SSelznick
50,made_by,SColumbia,ICr40,SColumbia
22,made_by,Paramount,IFD50,Paramount
22,made_by,Paramount,JdL12,Paramount
22,made_by,Paramount,LMC13,Paramount
22,made_by,Paramount,LMC14,Paramount
22,made_by,Paramount,LMC18,Paramount
60,made_by,RKO,LMC19,RKO
47,made_by,Wardour,NoL30,Wardour
22,made_by,Paramount,RM1,Paramount
22,made_by,Paramount,RM2,Paramount
22,made_by,Paramount,RM3,Paramount
22,made_by,Paramount,RM4,Paramount
22,made_by,Paramount,RM5,Paramount
22,made_by,Paramount,RM10,Paramount
50,made_by,SColumbia,RM11,SColumbia
22,made_by,Paramount,RM14,Paramount
10,made_by,Universal,RSi17,Universal
10,made_by,Universal,RSi20,Universal
50,made_by,SColumbia,ThF11,SColumbia
22,made_by,Paramount,WTh10,Paramount
22,made_by,Paramount,GC1,Paramount
22,made_by,Paramount,GC4,Paramount
50,made_by,SColumbia,GC17,SColumbia
10,made_by,Universal,GC29,Universal
50,made_by,SColumbia,GC33,SColumbia
30,made_by,SWarners,GC39,SWarners
75,made_by,Fox,GC52,Fox
22,made_by,Paramount,HAA10,Paramount
22,made_by,Paramount,HPC10,Paramount
50,made_by,SColumbia,IB14,SColumbia
75,made_by,Fox,IB20,Fox
146,made_by,hamley,IB101,hamley
146,made_by,hamley,IB102,hamley
146,made_by,hamley,IB105,hamley
146,made_by,hamley,IB106,hamley
146,made_by,hamley,IB107,hamley
146,made_by,hamley,IB108,hamley
146,made_by,hamley,IB109,hamley
146,made_by,hamley,IB111,hamley
10,made_by,Universal,JW1,Universal
10,made_by,Univeral,JW4,Univeral
10,made_by,Universal,JW6,Universal
10,made_by,Universal,JW11,Universal
10,made_by,Universal,JW18,Universal
22,made_by,Paramount,LSw10,Paramount
10,made_by,Universal,MOp16,Universal
50,made_by,SColumbia,NGr20,SColumbia
10,made_by,Universal,ELC2,Universal
146,made_by,hamley,JNm60,hamley
146,made_by,hamley,JNm62,hamley
146,made_by,hamley,JNm63,hamley
146,made_by,hamley,JNm64,hamley
146,made_by,hamley,JNm67,hamley
146,made_by,hamley,JNm69,hamley
4,made_by,SParis,MAl2,SParis
4,made_by,SParis,MAl5,SParis
22,made_by,Paramount,NML4,Paramount
22,made_by,Paramount,NML5,Paramount
22,made_by,Paramount,NML23,Paramount
22,made_by,Paramount,NML24,Paramount
22,made_by,Paramount,NML31,Paramount
22,made_by,Paramount,StW7,Paramount
