0,Skladanowsky,studio,,Skladanowsky,M. and E. Skladanowsky,Wintergarten Berlin,Germany,1895,,M. and E. Skladanowsky,
1,Lumiere,studio,,Lumiere,Lumiere Fr.,Grand Cafe Paris,France,1895,,,
2,Latham,studio,,Latham,O.G.,W.Latham,New York,,1895,,
3,Dickson,studio,,Dickson,W.Dickson,New York,USA,1895,,,
4,Pathe,studio,,Pathe,Pathe Cinema SA,Paris,France,1902,1946,,
5,Cines,studio,,Cines,,Rome,Italy,1906,1921,,
6,Vitascope,studio,,Vitascope,,,USA,1908,,,
7,Edison,studio,,Edison,Edison Company,New York,USA,1904,,Thomas Edison,
8,Essanay,studio,,Essanay,George K.Spoor,Chicago,USA,1907,,G.M.Anderson actor,
9,MPP,studio,,MPP,Motion Picture Patents Co.,Los Angeles,USA,1909,1915,Edison, Biograph
10,IMP,studio,,IMP,Independent Motion Picture Co.,New York,USA,1909,1912,Carl Laemmle,Universal
11,IMP 2,studio,,IMP 2,Independent Motion Picture Co.,,Cuba,,,,
12,AFM,studio,,AFM,American Film Manufacturing,,CA,1910,,Alan Dwan,
13,Ebony,studio,,Ebony,Ebony Motion Picture Co.,Chicago,USA,,,,
14,General Film,studio,,General Film,MPP,,,1910,,,
15,Great Northern,studio,,Great Northern,Nordisk Films Company,,Denmark,1911,1915,,
16,Chrystal,studio,,Chrystal,,Bronx,NY,1912,,,
17,Ambrosio,studio,,Ambrosio,Societa Anonima Ambrosio,Turin,Italy,1912,1917,Arturo Ambrosio,
18,Eclair,studio,,Eclair,,,France,1912,,,
19,Eclair 2,studio,,Eclair 2,Eclair,Ft.Lee NJ,USA,1912,,Eclair,
20,MPSA,studio,,MPSA,Motion Pictures Sales Agency Ltd,London,England,1913,,,
21,Artistica Gloria,studio,,Artistica Gloria,,Turin,Italy,1913,,,
22,Famous,studio,,Famous,Famous Players,New York,USA,1913,1918,Adolph Zukor,Paramount
23,New York,studio,,New York,New York Motion Pictures Company,New York,USA,1914,,,
24,Union,studio,,Union,Union Film Produktion,Berlin,Germany,1914,1917,,UFA
25,World,studio,,World,World Film Corp.,,USA,1915,,,
26,Triangle,studio,,Triangle,Triangle,New York,USA,1915,1917,Harry Aitkins, Griffith
27,Feature Play,studio,,Feature Play,Jesse L.~Lasky Feature Play Company,New York,USA,1913,1916,Lasky, DeMille
28,Paramount,studio,,Paramount,Paramount Corp.,Los Angeles,USA,1916,1993,William Wadworth Hodkinson,Paramount
29,Pickford,studio,,Pickford,Pickford Film Corp.,,USA,1917,1920,Mary Pickford,
30,First National,studio,,First National,First National,,USA,1917,1920,J.D. Williams,Warners
31,Chaplin,studio,,Chaplin,Chaplin Studios,Los Angeles,USA,1918,1919,Chaplin,
32,Standard,studio,,Standard,Standard Film Corp,,USA,1919,,,
33,FPL,studio,,FPL,Famous Players Lasky,Los Angeles,USA,1918,1920,,bought by Paramount
34,PFL,studio,,PFL,Paramount Famous Lasky,Los Angeles,USA,1928,1994,,
35,UFA,studio,,UFA,Universum Film AG,Neubabelsberg,Germany,1917,1933,,
36,U.A.,studio,,U.A.,United Artists,Hollywood,USA,1919,1983,Chaplin, Pickford
37,Cineromans,studio,,Cineromans,Cineromans,Nice,France,1919,1922,Gaston Leroux, Rene Navarre
38,Goldwyn,studio,,Goldwyn,Goldwyn Pictures,West Hollywood,USA,1922,1934,Sam Goldwyn,MGM
39,Biograph,studio,,Biograph,W.D.Griffith,,USA,1903,1910,,
40,Griffith,studio,,Griffith,W.D.Griffith,Mamaroneck NY,USA,1920,1935,,
41,MGM,studio,,MGM,Metro-Goldwyn-Mayer,Culver City,USA,1920,1935,, Bought Loews
42,Victory,studio,,Victory,Victory Films,Birmingham,England,1920,1922,Balcon, Saville
43,Famous,studio,,Famous,Famous Players,Islington,England,1921,1922,,
44,Seven Arts,studio,,Seven Arts,,,,,1961,,Warners
45,Universal,studio,,Universal,Universal Studios,North Hollywood,USA,1921,1962,Carl Laemmle,MCA
46,Lubitsch,studio,,Lubitsch,Lubitsch Film Produktion,Berlin,Germany,1922,,Ernst Lubitsch,UFA
47,Wardour,studio,,Wardour,Wardour F.,Islington,England,1922,,,
48,B-S-F,studio,,B-S-F,Balcon-Saville-Freedman,Islington,England,1922,,,
49,Warners,studio,,Warners,Warner Bros.,Burbank,USA,1923,1990,,taken over in 1969 by ...
50,Columbia,studio,,Columbia,Columbia Pictures,Burbank,USA,1924,1990,,Sony
51,Gainsborough,studio,,Gainsborough,Gainsborough,,England,1924,,Balcon, Saville
52,Merabpomfilm,studio,,Merabpomfilm,Mev rabpomfil'm,Moscow,USSR,1924,1931,goverment,
53,Prometheus,studio,,Prometheus,Int.Arbeiterhilfe,,Germany,1926,1929,,
54,Lion,studio,,Lion,British Lion,London,UK,1925,1976,,EMI
55,Emelka,studio,,Emelka,,Munich,Germany,1925,,,
56,Vitaphone,studio,,Vitaphone,Warners and Western Electric,,USA,1926,1931,,Sound on Disk
57,Cines2,studio,,Cines2,,,Italy,1926,,,
58,PRC 1,studio,,PRC 1,Producers Releasing Corporation,,,1930,1947,,Eagle Lion
59,Elstree,studio,,Elstree,British International Pictures,Elstree,England,1927,,,
60,RKO,studio,,RKO,RKO Radio,Hollywood,USA,1929,1955,,studio taken over by DesiLu
61,Allied,studio,,Allied,Allied Artists,Los Angeles,USA,1930,1994,,
62,Nero,studio,,Nero,Nero Film A.G.,Berlin,Germany,1928,1940,Paramount,
63,Paris,studio,,Paris,,Paris,France,1932,1948,,
64,Goldwyn,studio,,Goldwyn,Sam Goldwyn Productions,,USA,1932,1947,Sam Goldwyn,
65,ATP,studio,,ATP,Associated Talking Pictures,,England,1932,,Basil Dean,
66,Lime Grove,studio,,Lime Grove,Gaumont British,,England,1933,,,
67,20th Cent.,studio,,20th Cent.,Twentieth Century,Hollywood,USA,1933,,Darryl F. Zanuck,
68,London,studio,,London,London Films - Korda,London,England,1933,,,
69,UFA,studio,,UFA,UFI,Neubabelsberg,Germany,1933,1962,,
70,20th Cent.,studio,,20th Cent.,20th Century Productions,Century City,USA,1933,1935,Zanuck,
71,Reliance,studio,,Reliance,,LA,USA,1934,,,
72,GFD,studio,,GFD,Gaumont British,,England,1934,,,
73,Monogram,studio,,Monogram,Allied Artists,Hollywood,USA,1934,1953,,Allied Artists
74,Republic,studio,,Republic,Republic Film Corporation,San Fernando, Hollywood,,1935,1959,Herbert J. Yates
75,Fox,studio,,Fox,20th Cent.Fox,Century City,USA,1935,1994,,
76,MGM,studio,,MGM,Metro-Goldwyn-Mayer,,USA,1935,1983,,MGM-UA
77,UFI,studio,,UFI,Nazi Government,,Germany,1936,,,broken up
78,Korda,studio,,Korda,Korda,Denham,England,1936,195x,Korda,Rank
79,Selznick,studio,,Selznick,,Hollywood,USA,1936,1944,,
80,Pinewood,studio,,Pinewood,Gainsborough,,England,1937,,,
81,Cinetone,studio,,Cinetone,NV Filmex,Amsterdam,Holland,1937,1940,Rudolf Meyer,
82,First National,studio,,First National,Warner Brothers,,USA,1939,,Warners,
83,Teddington,studio,,Teddington,Warner Brothers, First National,London,,1931,1952,Warners
84,NEF,studio,,NEF,Novelles Editions Francaises,Paris,France,1939,,J.Renoir, Andre Zwobada
85,ENSA,studio,,ENSA,Entertainment National Service Association,,England,1940,1945,Basil Dean,
86,Roach,studio,,Roach,Roach Studios,Hollywood,USA,,19x2,Hal Roach,
87,Phenakistiscope,studio,,Phenakistiscope,,Paris,France,1832,,Plateau,
88,Zootrope,studio,,Zootrope,,,UK,1834,,W.G.Horne,
89,Phenakistiscope,studio,,Phenakistiscope,,Paris,France,1835,,Charles Chevalier,S:L'anorthoscope
90,L'anorthoscope,studio,,L'anorthoscope,,Paris,France,1836,,Plateau,
91,Photobioscope,studio,,Photobioscope,,,,1867,,Bonnelliot, Henry Cook
92,Pocket Kinematograph,studio,,Pocket Kinematograph,,,,1868,,J.B.Linnett,
93,Zootrope,studio,,Zootrope,,Paris,France,1876,,Emile Reynaud,
94,Thaumatrope,studio,,Thaumatrope,,Paris,France,1877,,Docteur Pan,
95,Life Projection Wheel,studio,,Life Projection Wheel,,Stanford CA,USA,1880,,E.Muybridge,
96,Schnellseher,studio,,Schnellseher,,,Germany,1887,,O.Anschutz,
97,Praxinoscope,studio,,Praxinoscope,,,France,1876,,Emile Reynaud,
98,Projection-Praxinoscope,studio,,Projection-Praxinoscope,,,France,1881,1882,Ch-E.Reynaud,
99,Film Camera,studio,,Film Camera,,,Germany,1889,,W.Friese-Greene,
100,35mm Film Camera,studio,,35mm Film Camera,Edison,New Jersey,USA,1893,,T.A.Edison,
101,Kinetoscope,studio,,Kinetoscope,Edison,,NJ,1894,,T.A.Edison,
102,Practical Projectors,studio,,Practical Projectors,Lumiere Fr.,Lyon,France,1895,,Louis Lumiere, August Lumiere
103,Vitascope Projectors,studio,,Vitascope Projectors,Vitascope,New York,USA,1895,,W.Latham,
104,Practical Projectors,studio,,Practical Projectors,M.Skladanowsky,Berlin,Germany,1895,,O.Meester,
105,Phakinescope,studio,,Phakinescope,,,,1896,,Abadie Dutemps,
106,Selig Polyscope,studio,,Selig Polyscope,Selig,Chicago,USA,1896,,William N.Selig,
107,Stereo-Praxinoscope,studio,,Stereo-Praxinoscope,,,France,1902,,Emile Reynaud,
108,DEFA,studio,,DEFA,D.R.Germany,Berlin,D.R.Germany,1946,1994,split from UFA,
109,Eagle Lion,studio,,Eagle Lion,Eagle Lion,,,1947,1951,from PRC1,MergedU.A.
110,New World,studio,,New World,,Rome,Italy,1947,1994,,
111,Transatlantic,studio,,Transatlantic,Transatlantic,London,England,1948,1949,Bernstein,Hitchcock
112,ARC,studio,,ARC,American Releasing Corporation,Palo Alto,USA,1954,1956,Samuel Z. Arkoff. James Nicholson,AIP
113,AIP,studio,,AIP,American International Pictures,,USA,1956,1980,from ARC, Filmways
114,Filmgroup,studio,,Filmgroup,American International Pictures,,USA,1956,1980,sub AIP,
115,Trans-American,studio,,Trans-American,American International Pictures,,USA,1956,1980,sub AIP,
116,Hallmark,studio,,Hallmark,American International Pictures,,USA,1956,1980,sub AIP,
117,UFA 2,studio,,UFA 2,UFA, F.R.Germany,Babelsberg,..,1956,1962,1971
118,Revue,studio,,Revue,MCA,Universal City,USA,1959,,,bought by Seagram 1995
119,Malpaso,studio,,Malpaso,Malpaso Productions,Hollywood,USA,1968,,Clint Eastwood,
120,NFDC,studio,,NFDC,National Film Development Corp.,New Delhi,India,1970,,,
121,Zoetrope,studio,,Zoetrope,Warners,San Francisco,USA,1970,,Francis Ford Coppola, George Lucas
122,UFA,studio,,UFA,Bertelsmann,Babelsberg,F.R.Germany,1971,1994,,
123,Box Office,studio,,Box Office,Box Office International,,France,1972,,,
124,Paramount,studio,,Paramount,GulfWestern Corp,Los Angeles,USA,,1994,,
125,Golden Harvest,studio,,Golden Harvest,Golden Harvest Studio,HongKong,China,1972,1994,,
126,Cathay,studio,,Cathay,Cathay Film Company,HongKong,China,1972,1994,,
127,Producers Distr.Corp,studio,,Producers Distr.Corp,,,USA,,1940,,became PRC
128,PRC,studio,,PRC,Pathe,,USA,1940,1949,,absorbed by Rank to become Eagle Lion
129,London Films,studio,,London Films,,London,England,1945,1994,AlexKorda,
130,Pathe 2,studio,,Pathe 2,Pathe Communications,,Italy,1946,1994,Pathe,
131,Eagle Lion,studio,,Eagle Lion,Rank,,,1949,1950,,merged with U.A.
132,Cines3,studio,,Cines3,,,Italy,1949,,,
133,Biograph,studio,,Biograph,,The Bronx,USA,,,,
134,FilmMakers,studio,,FilmMakers,Film Makers,,USA,1950,1956,Ida Lupino, Collier Young
135,Woodfall,studio,,Woodfall,Woodfall Productions,,G.B.,1956,1960,Saltzman, Tony Richardson
136,MGM British,studio,,MGM British,Metro-Goldwyn-Mayer,Elstree,England,1949,,,
137,Astor,studio,,Astor,indep,,USA,,,,
138,Howco,studio,,Howco,indep,,USA,,,,
139,Lippert,studio,,Lippert,indep,,USA,,,,
140,RealArt,studio,,RealArt,indep,,USA,,, James Nicholson,
141,UGC,studio,,UGC,Union Generale Cinamatographique,,France,1950,,,
142,Condor,studio,,Condor,Deutsche Condor Film GmbH,Munchen,F.R.Germany,1956,1994,,
143,laPleiade,studio,,laPleiade,Films de la Pleiade,,France,1960,,,
144,MCA,studio,,MCA,,,USA,1960,1990,Universal,Matsushita
145,Filmservice,studio,,Filmservice,,Los Angeles,USA,1960,,,
146,Shamley,studio,,Shamley,Paramount,Los Angeles,USA,1960,,, *
147,Film House,studio,,Film House,The Film House,Melbourne,Australia,1965,1994,Schepisi,
148,Carosse,studio,,Carosse,Films du Carosse,Paris,France,1961,1984,Truffaut,
149,Essexe,studio,,Essexe,Essex Productions,,USA,1965,,Frank Sinatra,
150,Bavaria,studio,,Bavaria,Bavaria Atelier,Munchen,F.R.Germany,1968,1972,, split from UFA
151,NWP,studio,,NWP,New World Pictures,Hollywood,U.S.A.,1970,1994,Corman,
152,Fantasy,studio,,Fantasy,,Berkely CA,U.S.A.,1970,1994,Saul Saentz,
153,Todrest,studio,,Todrest,,,France,1981,,,
154,Xian Film Studios,studio,,Xian Film Studios,P.R.China,Xian Shaanxi,P.R.China,1983,,,
155,MGM-U.A,studio,,MGM-U.A,MGM-U.A. Communications Co.,Hollywood,USA,1983,1990,Kirk Kerkorian Bought Pathe,
156,Paulist,studio,,Paulist,Paulist Pictures,Malibu CA,USA,1988,,Ellwood Bud Kieser,
157,Granada,studio,,Granada,,,England,,1994,SidBernstein,
158,Carolco,studio,,Carolco,,North-carolina,USA,,1994, PGolden Harvest,
159,Thames,studio,,Thames,,,England,,1994,,
160,Double,studio,,Double,Double Head,,Australia,1975,1994,,
161,Orion,studio,,Orion,Orion,,USA,1979,1997,from Filmways,MGM
162,Filmways,studio,,Filmways,Filmways,,USA,1980,1981,from AIP,Orion
163,Miramax,studio,,Miramax,,,USA,1980,,Weinstein, Weinstein
164,Cobra,studio,,Cobra,Cobra Filmproduktion,,Germany,198,,,
165,Lorimar,studio,,Lorimar,,,USA,1980,1994,Lee Rich, 
166,Buena Vista,studio,,Buena Vista,Disney,,USA,1980,1994,,
167,Galaxie,studio,,Galaxie,Les Films Galaxie,,France,1981,,,
168,Lee Rich,studio,,Lee Rich,Lee Rich Productions, Warners,,,1983,1994,Lee Rich
169,TriStar,studio,,TriStar,Tri-Star Pictures Inc.,,USA,1985,1990,Columbia,TriStar-Sony
170,NewLine,studio,,NewLine,New Line Cinema,,USA,1989,1994,,bought by Turner
171,Gracie,studio,,Gracie,,Hollywood,USA,1989,1994,J.L.Brooks,
172,CastleRock,studio,,CastleRock,,,USA,1989,1994,Rob Reiner,bought by Turner
173,Caravan,studio,,Caravan,,,USA,,1990,1994,Roth
174,MCA,studio,,MCA,Matsushita,,USA,1990,1994,,
175,Warners,studio,,Warners,Time-Warner,Burbank,USA,1990,1994,Warner Bros,
176,Universal,studio,,Universal,MCA, Matsushita,Osaka,,1992,1994,From MCA
177,Taksen,studio,,Taksen,,Joinville,France,,1994,,
178,Columbia,studio,,Columbia,Sony Software Corp,Burbank,USA,1990,1994,Columbia,
179,TriStar,studio,,TriStar,Sony Software Corp,,USA,1990,1994,TriStar-Columbia,
180,Vivid,studio,,Vivid,Vivid Video,Los Angeles,USA,1990,1998,Steven Hirsch,
181,Wicked,studio,,Wicked,,Los Angeles,USA,1990,1998,,
182,VCA,studio,,VCA,,Los Angeles,USA,1990,1998,,
183,Metro,studio,,Metro,,Los Angeles,USA,1990,1998,,
184,Regency,studio,,Regency,Regency Enterprises,,Holland,1991,1998,Arnon Milchan,
185,Paramount,studio,,Paramount,Viacom Corp.,Los Angeles,USA,1993,1994,Viacom,
186,Turner,studio,,Turner,Turner Broadcasting,Hollywood,USA,1993,1994,Ted Turner,
187,Graniet,studio,,Graniet,Graniet Film,,The Netherlands,1993,1998,van Warmerdam,
188,Pixar,studio,,Pixar,Pixar Animation Studios,Hollywood,USA,1995,,Steve Jobs,
189,Miramax,studio,,Miramax,Miramx,Hollywood,USA,1996,,Disney,
190,Dimension,studio,,Dimension,Dimension,Hollywood,USA,1996,,Disney,
191,Gregory,studio,,Gregory,Gregory Productions,,USA,1996,,Ian Courts Catholic Church,
192,Jagged,studio,,Jagged,Jagged Films,,USA,1998,,Mick Jagger,
193,LionsGate,studio,,LionsGate,Lions Gate Releasiung,,USA,1998,,Mark Urman,
